,,WORD2VEC,,,FASTTEXT,,,SBERT,,,
Source Node,Target Node,time,length,nn,nt,time,length,nn,nt,time,length,nn,nt
Athens,Moscow,3,1,0.53,0.53,2,1,0.55,0.55,13,1,0.56,0.56
Hanoi,The_Beatles,55,9,0.5,0.35,400,0,0,0,185,9,0.66,0.25
Hanoi,Barcelona,4,2,0.26,0.26,9,5,0.58,0.57,93,8,0.59,0.62
Heraklion,Montevideo,400,0,0,0,400,0,0,0,21,3,0.48,0.46
Albert_Einstein,Moscow,21,4,0.54,0.54,4,1,0.47,0.36,45,1,0.15,0.16
Microsoft,Crete,400,0,0,0,100,6,0.54,0.43,83,6,0.52,0.46
Marie_Curie,Nigeria,6,4,0.54,0.53,3,3,0.56,0.54,40,3,0.5,0.5
Adolf_Hitler,Nicaragua,400,0,0,0,26,9,0.66,0.57,39,3,0.53,0.5
Battle_of_France,Amstrad,400,0,0,0,400,0,0,0,400,0,0,0
Italy,Mona_Lisa,400,0,0,0,400,0,0,0,82,9,0.53,0.47
Napoleon,Alexander_the_Great,400,0,0,0,400,0,0,0,400,0,0,0
Smiljan,Elon_Musk,400,0,0,0,400,0,0,0,400,0,0,0
Mahatma_Gandhi,Barack_Obama,138,8,0.65,0.49,400,0,0,0,304,9,0.58,0.53
Nikola_Tesla,Google,7,5,0.47,0.3,9,3,0.45,0.28,54,9,0.51,0.38
The_Flintstones,Family_Guy,400,0,0,0,400,0,0,0,400,0,0,0
Albert_Einstein,India,7,2,0.54,0.53,2,2,0.45,0.45,42,2,0.4,0.39
Plato,Martin_Luther_King_Jr.,400,0,0,0,400,0,0,0,400,0,0,0
Finland,NATO,2,1,0.33,0.33,1,1,0.49,0.49,23,1,0.4,0.4
Austria,Adolf_Hitler,58,3,0.64,0.49,9,3,0.7,0.63,26,5,0.65,0.36
Mona_Lisa,California,13,4,0.64,0.37,4,4,0.61,0.6,219,6,0.61,0.53
Kyriakos_Mitsotakis,Winston_Churchill,400,0,0,0,400,0,0,0,400,0,0,0
Herne_Bay_High_School,Paris,31,4,0.35,0.2,4,4,0.48,0.34,24,4,0.5,0.25
Boris_Yeltsin,China,400,0,0,0,400,0,0,0,400,0,0,0
Heraklion,Artificial_intelligence,58,16,0.54,0.3,36,3,0.31,0.18,16,9,0.47,0.35
Stephen_Hawking,Ludwig_van_Beethoven,400,0,0,0,400,0,0,0,135,6,0.62,0.55
Indonesia,Java,6,3,0.71,0.7,2,3,0.45,0.43,45,3,0.68,0.66
California,Vikings,400,0,0,0,63,11,0.62,0.44,94,18,0.57,0.41
Examilia,Ano_Liosia,400,0,0,0,400,0,0,0,400,0,0,0
Rome,Sarajevo,400,0,0,0,18,5,0.51,0.51,44,2,0.53,0.57
Battle_of_Dunkirk,Unix,88,5,0.46,0.44,52,2,0.47,0.12,80,5,0.52,0.2
Amish,Commodore_Amiga,400,0,0,0,400,0,0,0,400,0,0,0
